"...1","id","title","date","group_name","people","total_weight","area_cleaned","cleanup_duration","location","lat","long","total_items","plastic","glass","metal","cloth","mixed","paper_wood","dumping","eating.drinking","fishing","personal.hygiene","recreation","smoking","various","construction","clothing_fabric","miscellaneous","paper_wood_products","tires","six_pack_holders","bags_plastic","bags_paper","beverage_containers","bottle_caps","bottles","cans","container_closures","foodware","straws_stirrers","takeout_food_containers_plastic","takeout_food_containers_paper","utensils","wrappers","buoys_pots_traps_floats","fishing_gear","fishing_lines","fishing_net_and_rope","diapers","personal_care_products","ppe","syringes","tampons_applicators","balloons","fireworks","shotgun_wads_shells","packaging_and_other_smoking","cigar_tips","cigarette_butts","e_cigarettes","lighter","glass_fragments","metal_fragments","packaging","plastic_fragments","source","adults","children","distance_cleaned","number_of_bags","site_length","total_weight_kg"
1,2666,"Cleanup on 8/18/18 by San Luis Obispo Chapter at Pismo Beach Pier - San Luis Obispo - CA",2018-08-18,"San Luis Obispo",8,1,NA,NA,"Pismo Beach Pier",35.138888888889,-120.64333333333,317,317,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,"surfrider",NA,NA,NA,NA,NA,NA
2,2129,"Cleanup on 9/15/18 by San Luis Obispo Chapter at Sandspit Beach",2018-09-15,"San Luis Obispo",11,72,NA,NA,"Sandspit Beach",35.308888888889,-120.87166666667,177,158,12,7,0,0,0,0,55,22,0,5,45,50,0,0,0,0,0,0,12,0,0,11,19,7,0,0,6,0,0,0,0,2,0,11,9,0,0,0,0,0,5,0,0,0,0,45,0,0,0,0,0,50,"surfrider",NA,NA,NA,NA,NA,NA
3,2637,"Cleanup on 10/6/18 by San Luis Obispo Chapter at Pirate's Cove - San Luis Obispo - CA",2018-10-06,"San Luis Obispo",30,40,NA,NA,"Pirate's Cove",35.176111111111,-120.71583333333,1621,1467,115,39,0,0,0,0,275,8,0,0,1313,25,0,0,0,0,0,0,36,0,0,20,159,39,0,0,21,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1313,0,0,0,0,0,25,"surfrider",NA,NA,NA,NA,NA,NA
4,5156,"Cleanup on 10/31/2018 at Morro Strand State Beach by Unaffiliated with a Surfrider Chapter/Club",2018-10-31,"Unaffiliated with a Surfrider Chapter/Club",1,1,NA,1,"Morro Strand State Beach",35.403333333333,-120.86888888889,49,34,5,2,0,4,4,0,13,0,0,0,16,20,0,0,4,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,1,0,6,"surfrider",NA,NA,NA,NA,NA,NA
5,2638,"Cleanup on 11/3/18 by San Luis Obispo Chapter at Pirate's Cove - San Luis Obispo - CA",2018-11-03,"San Luis Obispo",30,65,NA,NA,"Pirate's Cove",35.176111111111,-120.71583333333,1489,1333,114,42,0,0,0,0,329,0,0,0,1160,0,0,0,0,0,0,0,38,0,0,52,167,42,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,"surfrider",NA,NA,NA,NA,NA,NA
6,2639,"Cleanup on 12/8/18 by San Luis Obispo Chapter at Pirate's Cove - San Luis Obispo - CA",2018-12-08,"San Luis Obispo",45,103,NA,NA,"Pirate's Cove",35.176111111111,-120.71583333333,413,222,116,75,0,0,0,0,338,0,0,0,0,75,0,0,0,0,0,0,29,0,0,40,165,75,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,"surfrider",NA,NA,NA,NA,NA,NA
7,3170,"Cleanup on 09/21/2019 at West Grand Ave by San Luis Obispo",2019-09-21,"San Luis Obispo",68,74.3,2,2,"West Grand Ave",35.124166666667,-120.63472222222,2125,1808,130,118,0,22,47,2,890,10,7,23,423,768,0,0,1,2,2,2,101,34,0,233,67,24,17,20,77,54,0,17,244,0,0,0,10,4,1,0,0,2,7,16,0,2,4,415,0,4,112,12,0,641,"surfrider",NA,NA,NA,NA,NA,NA
8,3150,"Cleanup on 09/21/2019 at Morro Creek by California Polytechnic State University",2019-09-21,"California Polytechnic State University",30,39,0.5,3,"Morro Creek",35.376327,-120.864604,1029,842,87,39,0,11,50,3,357,6,6,3,283,369,0,0,4,36,3,0,18,4,0,83,25,4,14,13,18,25,0,0,157,0,0,1,5,3,0,0,0,3,2,1,0,2,0,282,0,1,73,0,0,252,"surfrider",NA,NA,NA,NA,NA,NA
9,3723,"Cleanup on 10/06/2019 at Pirates Cove by California Polytechnic State University",2019-10-06,"California Polytechnic State University",33,39,NA,2,"Pirates Cove",35.175,-120.7152,975,346,345,181,0,4,99,0,309,1,4,3,91,567,0,0,0,59,0,0,20,0,0,106,32,28,9,45,5,4,0,1,59,0,0,1,0,0,3,0,0,1,0,3,0,0,0,91,0,0,325,72,0,111,"surfrider",NA,NA,NA,NA,NA,NA
10,3899,"Cleanup on 10/18/2019 at Grover Beach by California Polytechnic State University",2019-10-18,"California Polytechnic State University",46,40,NA,2,"Grover Beach",35.121611,-120.621306,1091,557,61,60,0,207,206,40,406,15,2,31,105,492,0,0,206,137,0,0,3,0,0,115,6,3,0,69,12,0,0,13,185,0,0,1,14,0,0,0,0,2,31,0,0,0,0,105,0,0,60,19,0,110,"surfrider",NA,NA,NA,NA,NA,NA
