list_name,master_item_name,master_material,itemname,material,quantity,description,latitude,longitude,altitude,radius,location,timestamp,dt,project_name,username,manual_upload,event_name,id,log_index
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.4079666138","-119.692817688","1","65","Santa Barbara, California, United States of America","20200731225558","2020-07-31 22:55:58","","GCSCI","0","","746141","22401"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","50","","34.3941726685","-119.689422607","2.93834495544","1050.6661377","Santa Barbara, California, United States of America","20200917001502","2020-09-17 00:15:02","","GCSCI","0","","773638","23137"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","3","","34.4078025818","-119.691871643","2.96969461441","82.5393753052","Santa Barbara, California, United States of America","20200917011951","2020-09-17 01:19:51","","GCSCI","0","","773729","23137"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","74","","34.4081840515","-119.693252563","1.79526507854","71.5910720825","Santa Barbara, California, United States of America","20200917012145","2020-09-17 01:21:45","","GCSCI","0","","773740","23137"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","55","","34.4081077576","-119.692268372","2.29111623764","183.711761475","Santa Barbara, California, United States of America","20200917012602","2020-09-17 01:26:02","","GCSCI","0","","773758","23137"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.4081077576","-119.692268372","2.29111623764","183.711761475","Santa Barbara, California, United States of America","20200917012603","2020-09-17 01:26:03","","GCSCI","0","","773759","23137"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","50","","34.4080200195","-119.692619324","1.20781385899","65","Santa Barbara, California, United States of America","20200917013026","2020-09-17 01:30:26","","GCSCI","0","","773778","23137"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.44072038738","-119.70825677536","149.31438064575","65","Santa Barbara, California, United States of America","20210519203110","2021-05-19 20:31:10","Default","Debri","0","","1576692","40194"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","9","","34.45424352364","-119.9172273733","48.595222544856","4.7364339743017","Goleta, California, United States of America","20210812153000","2021-08-12 15:30:00","Default","Ambermceldowney","0","","1681489","43335"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","24","","34.454215856133","-119.91718776731","47.805795526132","4.7733003864617","Goleta, California, United States of America","20210915190206","2021-09-15 19:02:06","","Ambermceldowney","0","","1733688","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454218423894","-119.91717820271","47.832500951365","4.7755544911288","Goleta, California, United States of America","20210915190207","2021-09-15 19:02:07","","Ambermceldowney","0","","1733689","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","6","","34.454218254741","-119.91717433834","47.98667129036","4.7865492366113","Goleta, California, United States of America","20210915190208","2021-09-15 19:02:08","","Ambermceldowney","0","","1733690","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454218254741","-119.91717433834","47.98667129036","4.7865492366113","Goleta, California, United States of America","20210915190208","2021-09-15 19:02:08","","Ambermceldowney","0","","1733691","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454218254741","-119.91717433834","47.98667129036","4.7865492366113","Goleta, California, United States of America","20210915190208","2021-09-15 19:02:08","","Ambermceldowney","0","","1733692","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454219161607","-119.91717392976","48.07346717082","4.7950053426909","Goleta, California, United States of America","20210915190209","2021-09-15 19:02:09","","Ambermceldowney","0","","1733693","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454219161607","-119.91717392976","48.07346717082","4.7950053426909","Goleta, California, United States of America","20210915190209","2021-09-15 19:02:09","","Ambermceldowney","0","","1733694","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454219161607","-119.91717392976","48.07346717082","4.7950053426909","Goleta, California, United States of America","20210915190209","2021-09-15 19:02:09","","Ambermceldowney","0","","1733695","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454219161607","-119.91717392976","48.07346717082","4.7950053426909","Goleta, California, United States of America","20210915190209","2021-09-15 19:02:09","","Ambermceldowney","0","","1733696","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454219161607","-119.91717392976","48.07346717082","4.7950053426909","Goleta, California, United States of America","20210915190209","2021-09-15 19:02:09","","Ambermceldowney","0","","1733697","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454219164529","-119.91716579156","47.919839819893","4.80022297763","Goleta, California, United States of America","20210915190210","2021-09-15 19:02:10","","Ambermceldowney","0","","1733698","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454219164529","-119.91716579156","47.919839819893","4.80022297763","Goleta, California, United States of America","20210915190210","2021-09-15 19:02:10","","Ambermceldowney","0","","1733699","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454219164529","-119.91716579156","47.919839819893","4.80022297763","Goleta, California, United States of America","20210915190210","2021-09-15 19:02:10","","Ambermceldowney","0","","1733700","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454219164529","-119.91716579156","47.919839819893","4.80022297763","Goleta, California, United States of America","20210915190210","2021-09-15 19:02:10","","Ambermceldowney","0","","1733701","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454219164529","-119.91716579156","47.919839819893","4.80022297763","Goleta, California, United States of America","20210915190210","2021-09-15 19:02:10","","Ambermceldowney","0","","1733702","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454219164529","-119.91716579156","47.919839819893","4.80022297763","Goleta, California, United States of America","20210915190210","2021-09-15 19:02:10","","Ambermceldowney","0","","1733703","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454219164529","-119.91716579156","47.919839819893","4.80022297763","Goleta, California, United States of America","20210915190210","2021-09-15 19:02:10","","Ambermceldowney","0","","1733704","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454217157025","-119.91716496267","47.915455865674","4.8070236978282","Goleta, California, United States of America","20210915190211","2021-09-15 19:02:11","","Ambermceldowney","0","","1733705","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454217157025","-119.91716496267","47.915455865674","4.8070236978282","Goleta, California, United States of America","20210915190211","2021-09-15 19:02:11","","Ambermceldowney","0","","1733706","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454217157025","-119.91716496267","47.915455865674","4.8070236978282","Goleta, California, United States of America","20210915190211","2021-09-15 19:02:11","","Ambermceldowney","0","","1733707","44520"
"Primary List","Foam Fragment","PLASTIC","Foam fragments","PLASTIC","1","","34.454217157025","-119.91716496267","47.915455865674","4.8070236978282","Goleta, California, United States of America","20210915190211","2021-09-15 19:02:11","","Ambermceldowney","0","","1733708","44520"
