"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
15147,"Santa Barbara County, CA, USA","California, USA","United States","34.40358, -119.74356",land,,2017-01-17,GROMSS,13,,13,4.91,0.243,0,,,,3,,3,,,2,11,,,,2,3,2,,,2,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,79,112
15532,"Santa Barbara County, CA, USA","California, USA","United States","34.42395, -119.72883",land,,2017-01-31,GROMSS,1,,1,2.57,0.0388,0,,1,,,2,2,,,2,,,,,,4,23,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,6,,,,,21,67
15802,"Santa Barbara County, CA, USA","California, USA","United States","34.42423, -119.72897",land,,2017-02-09,GROMSS,1,,1,2.01,0.0943,0,,,,,1,,,,1,,,,1,,4,22,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,6,,,,,24,64
15953,"Santa Barbara County, CA, USA","California, USA","United States","34.40281, -119.7434",land,,2017-02-14,GROMSS,1,,1,2.59,0.1957,0,,3,,,1,1,,,1,3,,,,,,3,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8,,,,,89,111
16343,"Santa Barbara County, CA, USA","California, USA","United States","34.41252, -119.55718",land,,2017-02-25,"Powel Broom Street Preservation LLC",1,,1,4,0,0,,,,1,5,2,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,10,,,,,19,48
18380,"Santa Barbara County, CA, USA","California, USA","United States","34.40686, -119.68988",land,,2017-05-01,"Trash talk teri",1,,1,0.37,0.321,0,,,,,,,,,2,2,,,1,,1,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,25
18531,"Santa Barbara County, CA, USA","California, USA","United States","34.40675, -119.68968",land,,2017-05-04,"Trash talk teri",2,,2,5.74,0.0408,0,,,,1,2,3,,,15,10,,,1,1,1,52,,5,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,11,,1,,,82,188
19007,"Santa Barbara County, CA, USA","California, USA","United States","34.95928, -120.4305",land,,2017-06-01,"Guadalupe BeachCOMBER",2,,2,4.26,0.0069,0,,1,,1,,3,,,2,,,,,,,2,,5,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,8,,,,,1,30
19608,"Santa Barbara County, CA, USA","California, USA","United States","34.40077, -119.70134",land,,2017-06-21,,1,,1,0.06,0.0206,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
22044,"Santa Barbara County, CA, USA","California, USA","United States","34.429, -119.79662",land,,2017-09-16,,1,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22491,"Santa Barbara County, CA, USA","California, USA","United States","34.47166, -120.22814",land,,2017-09-16,"Gs 50507",3,,3,1.69,0.0212,0,,3,,,,,,,3,23,,,,,,12,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,2,,,20,79
22522,"Santa Barbara County, CA, USA","California, USA","United States","34.47163, -120.22822",land,,2017-09-16,"Gs 50507",5,,5,0.41,0.1199,0,,,,,,,,,3,21,,,,,,5,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,40
22563,"Santa Barbara County, CA, USA","California, USA","United States","34.47157, -120.22816",land,,2017-09-16,"Gs 50507",1,,1,1.34,0.0061,0,,,,,,,,,3,26,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,2,,1,,,2,48
22696,"Santa Barbara County, CA, USA","California, USA","United States","34.47149, -120.22805",land,,2017-09-16,"Gs 50507",3,,3,1.3,0.0404,0,,3,,,,,,,,7,,,,,,10,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,3,,,6,38
22849,"Santa Barbara County, CA, USA","California, USA","United States","34.41347, -119.6843",land,,2017-09-16,,4,,4,0,0.0095,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
22867,"Santa Barbara County, CA, USA","California, USA","United States","34.41468, -119.68461",land,,2017-09-16,,4,,4,1,0.06,0,,,,,1,,,,4,22,,,,,,21,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,7,,,,,37,106
22934,"Santa Barbara County, CA, USA","California, USA","United States","34.45826, -120.02431",land,,2017-09-16,"El Capitan",1,,1,30.82,1.291,0,,2,,8,21,16,,,15,9,,,12,3,3,54,11,3,3,,,,,,,,,,18,,,,,,,15,,,,,,,,,,,,,,6,,,25,,,,75,,,,,78,377
22947,"Santa Barbara County, CA, USA","California, USA","United States","34.45135, -119.77774",land,,2017-09-16,50507,4,,4,14.31,28.5315,0,,5,,5,8,9,,,19,19,,,,1,1,13,5,17,4,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,23,,,,49,,3,,,29,215
