"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
279526,"Santa Barbara County, CA, USA","California, USA","United States","34.4100096, -119.6859749",land,,2023-05-02,"Zant for NCL",1,,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279790,"Santa Barbara County, CA, USA","California, USA","United States","34.403785557911, -119.74361622413",land,,2023-05-04,"Explore Ecology-Solvang-Stecken",55,,55,5,0.25,0,,,,,,,1,,,2,,,3,1,,10,,,,,,,2,,,,,,,3,,,,,,,5,7,,,,1,,,85,,,,,,,,,,,,,,,,,,120
280041,"Santa Barbara County, CA, USA","California, USA","United States","34.403773232035, -119.74360371413",land,,2023-05-08,"Explore Ecology-Mountain View-Casady/Bolton",50,,50,5,0.25,0,,,7,1,1,,,,3,,,,5,,2,2,2,,,3,,,3,1,,,,,,3,,,2,,,,15,,,,,,,,75,,,,,,,,,,,,,,,,,,125
280239,"Santa Barbara County, CA, USA","California, USA","United States","34.40364735783, -119.74355332226",land,,2023-05-09,"Explore Ecology - Washington 2nd",42,,42,4,0.5,0,,2,3,2,3,,11,5,,10,,,,,,10,7,5,3,4,,,3,,,,,2,,1,,,,,1,1,3,5,,,,,,,210,,,,,,,,,,,,,,,,,,291
280445,"Santa Barbara County, CA, USA","California, USA","United States","34.40364735783, -119.74355332226",land,,2023-05-11,"Explore Ecology - SBCA 3rd",48,,48,3,0.5,0,,,1,,3,5,1,2,,2,,,,,2,1,3,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,54
280477,"Santa Barbara County, CA, USA","California, USA","United States","34.441937870191, -119.73260286781",land,,2023-05-12,"Sea Center-Coastal Beach Clean Up",2,,2,6.126,0,0,,,,,,,2,1,6,10,,,,,3,5,2,5,1,,,,,,,1,,,,,,,,2,,,10,30,,,,6,,,,,,,,,,,,,,,,,,,,,84
280738,"Santa Barbara County, CA, USA","California, USA","United States","34.403691468792, -119.74365270708",land,,2023-05-14,"explore Ecology",5,,5,1.035,0,0,,,,,,,,,,1,,,1,,,,1,,1,,,,,,,,1,1,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,9
280810,"Santa Barbara County, CA, USA","California, USA","United States","34.403676659913, -119.74356912713",land,,2023-05-15,"Explore Ecology-brandon-hernandez",51,,51,8.953367,0.5,0,,,2,,,,,,,3,,,2,,1,1,,2,,1,,,,,,,,,,,,,1,,,2,,2,,,,,,,21,,,,,,,,,,,,,,,,,,38
281246,"Santa Barbara County, CA, USA","California, USA","United States","34.409416937301, -119.86641531821",land,,2023-05-20,"isla vista bluffs",2,,2,15,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281368,"Santa Barbara County, CA, USA","California, USA","United States","34.430944179217, -119.71287251461",land,,2023-05-21,sbck,6,,6,15,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281459,"Santa Barbara County, CA, USA","California, USA","United States","34.403767322455, -119.74360463696",land,,2023-05-23,"Explore Ecology-Adams-Brooks",26,,26,3.620317,0.25,0,,,,2,,2,,,3,3,,3,,,,,2,,,,,,,,,5,,,,,,,3,,,,3,2,,,,,,,11,,,,,,,,,,,,,,,,,,39
281461,"Santa Barbara County, CA, USA","California, USA","United States","34.403806512529, -119.74345643146",land,,2023-05-23,"Explore Ecology-Adams-Brooks",26,,26,0.555,1,0,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,4,,,,,,,,10,,,,,,,,,,,,,,,,,,18
281621,"Santa Barbara County, CA, USA","California, USA","United States","34.403802991737, -119.74347130453",land,,2023-05-25,"Explore Ecology-Kellog-1",55,,55,1.631,0,0,,1,,,,1,,4,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,7,5,,,,2,,,28,,,,,,,,,,,,,,,,,,53
281749,"Santa Barbara County, CA, USA","California, USA","United States","34.376702159675, -119.48099512618",land,,2023-05-27,Robin,1,,1,8.656,0.0057612967549514,0,,,,,,,,,,,,,,,,5,,1,,1,,,,,,,,,2,1,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,19
281813,"Santa Barbara County, CA, USA","California, USA","United States","34.374066452555, -119.47866490043",land,,2023-05-28,Robin,1,,1,11.221,0,0,,,,,,,,,,,,,,,,3,,,,1,,,1,,,,,,,,,,1,,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,11
281858,"Santa Barbara County, CA, USA","California, USA","United States","34.374065247694, -119.47865566513",land,,2023-05-29,Robin,1,,1,0.527,0,0,,1,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,5,,,,,,,,,,,,,,,,,,14
281865,"Santa Barbara County, CA, USA","California, USA","United States","34.374052514354, -119.47866068233",land,,2023-05-29,Robin,1,,1,7.94,0.0009252013607429,0,,1,1,,,1,2,,,,,,,,,6,,,,1,,,,,,,,,1,,,,,,,,2,3,,,,,,,4,,,,,,,,,,,,,,,,,,22
282184,"Santa Barbara County, CA, USA","California, USA","United States","34.417611587451, -119.66551789024",land,,2023-05-30,,2,,2,0.485,0,0,,,1,,2,,,1,3,,1,,1,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,16
282235,"Santa Barbara County, CA, USA","California, USA","United States","34.403645595097, -119.74340441011",land,,2023-05-31,"Explore Ecology-MonteVista-Harrah",21,,21,3,0.5,0,,,4,,,,,,,,,,,,,3,,1,,,1,,,,,,,,,,,,,,,5,6,,,,,1,,,15,,,,,,,,,,,,,,,,,,36
282296,"Santa Barbara County, CA, USA","California, USA","United States","34.429162927178, -119.67295463558",land,,2023-05-31,,2,,2,0.572,0.82891714241601,0,,3,1,,2,1,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,6,,,,,,,,,,,,,,,,,,19
282336,"Santa Barbara County, CA, USA","California, USA","United States","34.403789379577, -119.74359027191",land,,2023-06-01,"Explore Ecology-Adams-Brooks",50,,50,7,0.25,0,,,3,,,1,,,3,4,,,,,,5,,,,1,,,,,,,,,,,,,3,,,,36,20,,,,,,,50,,,,,,,,,,,,,,,,,,126
