"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
58304,"San Luis Obispo County, CA, USA","California, USA","United States","35.41815, -120.87694",land,,2019-01-08,,1,,1,0.83,0.0505,0,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,84
58377,"San Luis Obispo County, CA, USA","California, USA",,"35.42081, -120.87763",land,,2019-01-10,,1,,1,0.19,0.0031,0,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,21
58919,"San Luis Obispo County, CA, USA","California, USA",,"35.123115277998, -120.63366370079",land,,2019-01-11,"Keep By The Sea",16,3,19,3.4,0.25,0,,2,,,5,,,,8,11,,2,,6,6,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,85
58961,"San Luis Obispo County, CA, USA","California, USA","United States","35.42359, -120.87917",land,,2019-01-12,,1,,1,1.08,0.0851,0,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,51,58
58962,"San Luis Obispo County, CA, USA","California, USA","United States","35.42138, -120.87871",land,,2019-01-12,,1,,1,1.71,0.0032,0,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,175
59122,"San Luis Obispo County, CA, USA","California, USA","United States","35.11645, -120.60673",land,,2019-01-17,,1,,1,0.15,0,0,,1,,,,,,,1,,,,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
59237,"San Luis Obispo County, CA, USA","California, USA","United States","35.4184, -120.87658",land,,2019-01-17,,1,,1,0.26,0.3937,0,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,31
59238,"San Luis Obispo County, CA, USA","California, USA","United States","35.41307, -120.87411",land,,2019-01-18,,1,,1,0.01,0.0418,0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
59239,"San Luis Obispo County, CA, USA","California, USA","United States","35.41985, -120.87734",land,,2019-01-18,,1,,1,0.83,0.0447,0,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,87
59240,"San Luis Obispo County, CA, USA","California, USA","United States","35.4204, -120.87794",land,,2019-01-18,,1,,1,0.14,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,7
59283,"San Luis Obispo County, CA, USA","California, USA","United States","35.42056, -120.87765",land,,2019-01-19,,1,,1,0.26,0,0,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,28
59463,"San Luis Obispo County, CA, USA","California, USA","United States","35.13629, -120.64052",land,,2019-01-24,,1,,1,0.17,0,0,,,,,,4,,,,3,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15
