"","log_index","first_date","username","lat","long","other_other","plastic_plastic_bags","paper_lumber_paper_and_cardboard","paper_lumber_paper_food_wrappers","paper_lumber_paper_bags","cloth_towels_or_rags","cloth_non_rubber_gloves","cloth_clothing_and_shoes","glass_glass_bottle","metal_metal_bottle_caps_or_tabs","metal_aluminum_or_tin_cans","plastic_foam_or_plastic_cups_or_plates","plastic_cigarettes_cigars","plastic_plastic_caps_or_lids","plastic_plastic_bottle","cloth_fabric_pieces","plastic_straws","plastic_plastic_utensils","rubber_rubber_gloves","plastic_plastic_food_wrappers","plastic_tobacco_packaging_or_lighters","non_litter_item_test_item","plastic_plastic_fragments","fishing_gear_plastic_rope_or_net","fishing_gear_non_nylon_rope_or_net","plastic_other_plastic_jugs","plastic_other_plastic","plastic_balloon_and_or_string","fishing_gear_buoys_and_floats","metal_metal_fragments","plastic_foam_fragment","plastic_six_pack_rings","rubber_flip_flops","rubber_rubber_fragments","metal_aerosol_cans","fishing_gear_fishing_lures_and_lines","paper_lumber_lumber_building_materials","plastic_plastic_film","plastic_personal_care_products","rubber_tires","fishing_gear_fishing_line","plastic_condoms","plastic_feminine_hygeine_products","paper_lumber_other_paper","fishing_gear_bait_containers","paper_lumber_paper_cups_plates_napkins","metal_other_metal","plastic_foam_or_plastic_food_containers","paper_lumber_paper_food_box","plastic_mask","non_litter_item_organic_waste","fishing_gear_fishing_net","paper_lumber_pallets","cloth_other_cloth","glass_glass_fragments","metal_gun_shells","glass_glass_jars","rubber_other_rubber","glass_other_fishing_gear","glass_other_glass","mixed_materials_coated_paperboard_container","plastic_plastic_pellet","plastic_plastic_strapping_bands_or_zip_ties","other_fireworks","plastic_wipes","total_items"
"1",465,2015-01-10,"anonymous",35.354850769043,-120.84804534912,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2",6985,2017-01-25,"anonymous",34.4712257385,-120.228050232,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"3",9543,2017-10-21,"anonymous",35.3626441956,-120.861656189,1,0,0,0,0,0,0,0,0,0,0,2,2,2,3,0,0,0,0,4,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"4",10217,2018-02-11,"saunieindiego",35.12866392,-120.6362281,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"5",10386,2018-03-10,"DBRI",35.3688621521,-120.864768982,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"6",13784,2019-01-12,"saunieindiego",35.12945333,-120.63300396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"7",14003,2016-11-19,"Coastie16",34.5100517273,-120.500762939,1,0,0,0,0,0,0,0,0,0,0,2,25,10,1,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"8",27276,2021-03-08,"amandas",35.179054260254,-120.73481750488,1,1,1,0,0,0,0,0,0,0,3,1,0,2,2,0,0,1,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,16,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52
"9",40569,2021-05-29,"menlo.w.volleybal",35.449221907217,-120.92613078665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"10",44789,2021-09-20,"PolyMik",34.458706383171,-120.02438008976,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18
