shoreline_site_name,survey_date,transect_id,beach_width_at_transect,transect_width,site_length,slope,substrate,back_barrier_type,num_people_searching_for_debris,debris_search_start_time,debris_search_end_time,debris_removal_transect,consistency_check,transect_photos,transect_notes,total_weight_kg,total_debris_items,total_plastic_items,total_metal_items,total_glass_items,total_rubber_items,total_processed-lumber_items,total_cloth-fabric_items,total_other_items,plastic:fragments-film,plastic:fragments-foamed,plastic:fragments-hard,plastic:bags,plastic:beverage-bottles,plastic:bottle-or-container-caps,plastic:cups,plastic:food-wrappers,plastic:other-jugs-or-containers,plastic:straws,plastic:utensils,plastic:6-pack-rings,plastic:cigar-tips,plastic:cigarettes,plastic:disposable-cigarette-lighters,plastic:buoys-and-floats,plastic:fishing-lures-and-line,plastic:rope-and-nets,plastic:balloons,plastic:personal-care-products,plastic:shotgun-shells-wads,plastic:other,metal:fragments,metal:aerosol-cans,metal:aluminum-tin-cans,metal:other,glass:fragments,glass:beverage-bottles,glass:jars,glass:other,rubber:fragments,rubber:balloons,rubber:flip-flops,rubber:gloves,rubber:tires,rubber:other,processed-lumber:cardboard-cartons,processed-lumber:building-material,processed-lumber:paper-and-cardboard,processed-lumber:bags,processed-lumber:other,cloth-fabric:fragments,cloth-fabric:clothing-and-shoes,cloth-fabric:gloves,cloth-fabric:rope-and-nets,cloth-fabric:towels-rags,cloth-fabric:other,other:other,plastic:other-jugs-or-containers:bait containers/lids,plastic:rope-and-nets:yellow poly rope snippets,plastic:personal-care-products:combs or brushes,plastic:personal-care-products:syringes,plastic:personal-care-products:toothbrushes,plastic:other:crab buoy tag,plastic:other:fireworks,plastic:other:golf balls and tees,plastic:other:hagfish trap/cones,plastic:other:irrigation parts,plastic:other:light sticks,plastic:other:mesh bait bags,plastic:other:oyster spacers,plastic:other:oyster spacers & oyster bags,plastic:other:packing bands,plastic:other:pens & pen caps,plastic:other:plant pot or trays,plastic:other:ribbon,plastic:other:toys,plastic:other:zipties,metal:other:construction material,metal:other:metal bottle caps,metal:other:propane canisters,glass:other:light bulbs,rubber:other:rubber straps,processed-lumber:paper-and-cardboard:fireworks,processed-lumber:other:creosote-treated lumber,cloth-fabric:other:carpet,other:other:asphalt,other:other:brick,other:other:ceramic,other:other:terracota,drain_input,total_survey_duration,weather,trashcans,debris_removal_site,number_of_recreators,team_count,k12_group,first_timers,survey_photos,survey_notes,group,date_of_site_characterization,country,state_province_territory,city_county,site_back_barrier_left_lat,site_back_barrier_left_lon,site_back_barrier_right_lat,site_back_barrier_right_lon,site_waters_edge_left_lat,site_waters_edge_left_lon,site_waters_edge_right_lat,site_waters_edge_right_lon,direction_when_facing_water,access,nearest_river_stream_inlet,nearest_river_dist_km,reason_site_selection,site_photos,site_notes
Jalama Beach,2023-08-16,65,,5,100,knees to shoulders,sand,dune,2,,,all,,,,0.26,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.509,-120.502,34.509,-120.501,34.509,-120.502,34.509,-120.501,,,,,,,
Jalama Beach,2023-08-16,75,,5,100,knees to shoulders,sand,dune,2,,,all,,,,,,,,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.509,-120.502,34.509,-120.501,34.509,-120.502,34.509,-120.501,,,,,,,
Jalama Beach,2023-08-16,85,,5,100,knees to shoulders,sand,dune,2,,,all,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.509,-120.502,34.509,-120.501,34.509,-120.502,34.509,-120.501,,,,,,,
Jalama Beach,2023-08-16,90,,5,100,knees to shoulders,sand,dune,2,,,all,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.509,-120.502,34.509,-120.501,34.509,-120.502,34.509,-120.501,,,,,,,
Goleta Beach,2023-08-15,20,,5,100,knees to shoulders,sand,boulders,2,,,,,,,,,,,,,,,,,1,,,,2,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.416,-119.836,34.416,-119.835,34.416,-119.836,34.416,-119.835,,,,,,,
Goleta Beach,2023-08-15,30,,5,100,knees to shoulders,sand,boulders,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.416,-119.836,34.416,-119.835,34.416,-119.836,34.416,-119.835,,,,,,,
Goleta Beach,2023-08-15,60,,5,100,knees to shoulders,sand,boulders,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.416,-119.836,34.416,-119.835,34.416,-119.836,34.416,-119.835,,,,,,,
Percos - North Bend,2023-09-26,5,21.6,5,100,,sand,,2,2:47,2:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.446,-120.452,34.446,-120.453,34.446,-120.452,34.446,-120.453,,,,,,,
Percos - North Bend,2023-09-26,40,30.5,5,100,,sand,,2,2:42,2:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.446,-120.452,34.446,-120.453,34.446,-120.452,34.446,-120.453,,,,,,,
Percos - North Bend,2023-09-26,60,33.5,5,100,,sand,,2,2:38,2:46,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.446,-120.452,34.446,-120.453,34.446,-120.452,34.446,-120.453,,,,,,,
