"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
256829,"Santa Barbara County, CA, USA","California, USA","United States","34.40359460421, -119.74328632398",land,,2023-01-05,"Explore Ecology-McKinley-Alcaraz",28,,28,1.5,0.25,0,,,2,,,1,,1,1,3,,2,,,,2,,,,,,,,,,1,1,1,,,,,,,,2,,,,,,,,,15,,,,,,,,,,,,,,,,,,32
256842,"Santa Barbara County, CA, USA","California, USA","United States","34.403651368382, -119.74354653287",land,,2023-01-05,"Explore Ecology - McKinley - Grande",24,,24,0.25,0.1,0,,,,,2,,1,,,4,,,,,1,,1,2,2,,,,,,,,,,,,,,,3,,2,,,,,,,,,16,,,,,,,,,,,,,,,,,,34
256971,"Santa Barbara County, CA, USA","California, USA","United States","34.381209695744, -119.48632819589",land,,2023-01-07,Robin,1,,1,155.733,0.00017091711885852,0,,,2,,,2,2,,2,,,,,1,1,1,,,,8,4,,12,3,,,,,,1,,1,2,,,1,4,,,,,,,,6,,,,,,,,,,,,,,,,,,53
256977,"Santa Barbara County, CA, USA","California, USA","United States","34.374036434907, -119.47865153934",land,,2023-01-07,Robin,1,,1,30.162,0,0,,1,2,,,1,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,15
257470,"Santa Barbara County, CA, USA","California, USA","United States","34.374038558485, -119.47867652412",land,,2023-01-15,Robin,1,,1,64.756,0,0,,3,4,5,8,,4,3,5,,4,4,4,4,4,4,6,11,2,6,2,,5,,2,2,5,5,,1,,,,,,,4,4,,,,,,,11,,,,,,,,,,,,,,,,,,122
257882,"Santa Barbara County, CA, USA","California, USA","United States","34.440433761034, -119.76314919463",land,,2023-01-21,"Annika & Lydia",2,,2,46.583,4.6907892118777,0,,,2,2,8,5,,3,8,,1,1,,,3,3,2,5,,2,1,,7,,,2,4,1,,2,1,,,,2,10,18,11,,,,,,,32,,,,,,,,,,,,,,,,,,136
257883,"Santa Barbara County, CA, USA","California, USA","United States","34.440433761034, -119.76314919463",land,,2023-01-21,"Annika & Lydia",2,,2,46.583,4.6907892118777,0,,,2,2,8,5,,3,8,,1,1,,,3,3,2,5,,2,1,,7,,,2,4,1,,2,1,,,,2,10,18,11,,,,,,,32,,,,,,,,,,,,,,,,,,136
257884,"Santa Barbara County, CA, USA","California, USA","United States","34.440433761034, -119.76314919463",land,,2023-01-21,"Annika & Lydia",2,,2,46.583,4.6907892118777,0,,,2,2,8,5,,3,8,,1,1,,,3,3,2,5,,2,1,,7,,,2,4,1,,2,1,,,,2,10,18,11,,,,,,,32,,,,,,,,,,,,,,,,,,136
257885,"Santa Barbara County, CA, USA","California, USA","United States","34.440433761034, -119.76314919463",land,,2023-01-21,"Annika & Lydia",2,,2,46.583,4.6907892118777,0,,,2,2,8,5,,3,8,,1,1,,,3,3,2,5,,2,1,,7,,,2,4,1,,2,1,,,,2,10,18,11,,,,,,,32,,,,,,,,,,,,,,,,,,136
257886,"Santa Barbara County, CA, USA","California, USA","United States","34.440433761034, -119.76314919463",land,,2023-01-21,"Annika & Lydia",2,,2,46.583,4.6907892118777,0,,,2,2,8,5,,3,8,,1,1,,,3,3,2,5,,2,1,,7,,,2,4,1,,2,1,,,,2,10,18,11,,,,,,,32,,,,,,,,,,,,,,,,,,136
257887,"Santa Barbara County, CA, USA","California, USA","United States","34.440433761034, -119.76314919463",land,,2023-01-21,"Annika & Lydia",2,,2,46.583,4.6907892118777,0,,,2,2,8,5,,3,8,,1,1,,,3,3,2,5,,2,1,,7,,,2,4,1,,2,1,,,,2,10,18,11,,,,,,,32,,,,,,,,,,,,,,,,,,136
257888,"Santa Barbara County, CA, USA","California, USA","United States","34.440433761034, -119.76314919463",land,,2023-01-21,"Annika & Lydia",2,,2,46.583,4.6907892118777,0,,,2,2,8,5,,3,8,,1,1,,,3,3,2,5,,2,1,,7,,,2,4,1,,2,1,,,,2,10,18,11,,,,,,,32,,,,,,,,,,,,,,,,,,136
257889,"Santa Barbara County, CA, USA","California, USA","United States","34.440433761034, -119.76314919463",land,,2023-01-21,"Annika & Lydia",2,,2,46.583,4.6907892118777,0,,,2,2,8,5,,3,8,,1,1,,,3,3,2,5,,2,1,,7,,,2,4,1,,2,1,,,,2,10,18,11,,,,,,,32,,,,,,,,,,,,,,,,,,136
257890,"Santa Barbara County, CA, USA","California, USA","United States","34.440433761034, -119.76314919463",land,,2023-01-21,"Annika & Lydia",2,,2,46.583,4.6907892118777,0,,,2,2,8,5,,3,8,,1,1,,,3,3,2,5,,2,1,,7,,,2,4,1,,2,1,,,,2,10,18,11,,,,,,,32,,,,,,,,,,,,,,,,,,136
257893,"Santa Barbara County, CA, USA","California, USA","United States","34.440433761034, -119.76314919463",land,,2023-01-21,"Annika & Lydia",2,,2,46.6,3.8,0,,,2,2,8,5,,3,8,,1,1,,,3,3,2,5,,2,1,,7,,,2,4,1,,2,1,,,,2,10,18,11,,,,,,,32,,,,,,,,,,,,,,,,,,136
257934,"Santa Barbara County, CA, USA","California, USA","United States","34.419088610419, -119.6290071102",land,,2023-01-22,"kana wolf",1,,1,131.79,0.099527376584318,0,,,1,,1,,,2,2,,,3,1,1,,1,1,4,1,,,1,1,,,1,,2,,,,,,,,1,2,,,,,,,,6,,,,,,,,,,,,,,,,,,32
258386,"Santa Barbara County, CA, USA","California, USA","United States","34.37410917602, -119.47862589743",land,,2023-01-28,Robin,1,,1,50.752,0.0056617836316021,0,,,1,,,2,1,,,,,,,,,,1,,,1,,,1,2,,,1,,,,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,14
258390,"Santa Barbara County, CA, USA","California, USA","United States","34.374000672283, -119.47868934844",land,,2023-01-28,Robin,1,,1,3.904,0.0033061419831396,0,,,,,,2,,,2,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,1,5,,,,,,,5,,,,,,,,,,,,,,,,,,18
258444,"Santa Barbara County, CA, USA","California, USA","United States","34.373992332289, -119.47870410059",land,,2023-01-30,Robin,1,,1,13.671,0,0,,,1,,1,2,3,,4,,,,,,5,,2,2,,1,,,1,,,,,,,3,,,,,,,8,11,,,,,,,16,,,,,,,,,,,,,,,,,,60
259768,"Santa Barbara County, CA, USA","California, USA","United States","34.417083249673, -119.7029608997",land,,2023-01-30,"Explore Ecology-LagunaBlanca-Richter",15,,15,5,0.25,0,,,3,,2,2,,,1,4,,,,1,,1,,1,1,,,,,,,4,,,,,,,,1,,,3,3,,,,,,,6,,,,,,,,,,,,,,,,,,33
259921,"Santa Barbara County, CA, USA","California, USA","United States","34.40357942147, -119.74347298439",land,,2023-02-02,"Explore Ecology-Rosevelt-Manila",26,,26,37.5,0,0,,,,,2,,,1,3,,,,,2,,,,,,2,2,,,1,,3,,2,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,23
259963,"Santa Barbara County, CA, USA","California, USA","United States","34.416141822035, -119.67427049775",land,,2023-02-03,"mission wealth-lydia",1,,1,7.281,0.005012502820829,0,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,135,,,,,,,,,,,,,,,,,,144
259964,"Santa Barbara County, CA, USA","California, USA","United States","34.415965872014, -119.67481380909",land,,2023-02-03,"The Sportsmen",4,,4,17.803,0.21524388300475,0,,11,5,2,1,2,2,,13,,,1,,16,1,1,1,,2,1,,,2,,,,,1,,,,,1,,1,3,6,1,,,,,,,275,,,,,,,,,,,,,,,,,,349
259965,"Santa Barbara County, CA, USA","California, USA","United States","34.415815848448, -119.67505436711",land,,2023-02-03,"Mission Wealth screaming eagles",4,,4,0.3,0.2,0,,,4,3,,,,,3,55,2,857,87,2,19,28,,4,4,,,,1,,1,2,,1,,,,,,,3,9,1,5,,,,,,,,,,,,,,,,,,,,,,,,,1091
259966,"Santa Barbara County, CA, USA","California, USA","United States","34.414024328876, -119.67917367718",land,,2023-02-03,"Mission Wealth G Team",4,,4,4.139,0.38979625631716,0,,,1,,,1,,2,3,14,,,,,,,1,,,,,,,,,,,,,,2,,,,1,,4,25,,,,,,,539,,,,,,,,,,,,,,,,,,593
259967,"Santa Barbara County, CA, USA","California, USA","United States","34.416653081647, -119.67593244256",land,,2023-02-03,"mission wealth - junkies",4,,4,21.866,0,0,,,1,2,1,,1,3,9,5,1,2,,2,,6,2,2,1,2,,,1,,,9,,,,,1,1,,,,,8,13,,,,,,1,136,,,,,,,,,,,,,,,,,,210
259969,"Santa Barbara County, CA, USA","California, USA","United States","34.415781119021, -119.67711671004",land,,2023-02-03,"mission wealth - #winning",4,,4,11.46,0.27073254040427,0,,1,5,1,3,,,,,7,,,,3,,4,3,,5,,,,3,,,,1,,,,1,,,,,,4,10,1,,,1,1,1,225,,,,,,,,,,,,,,,,,,280
259970,"Santa Barbara County, CA, USA","California, USA","United States","34.415769237093, -119.6753764384",land,,2023-02-03,"mission wealth - gaucho garbage getters",4,,4,8,0.2,0,,3,6,2,4,1,2,1,3,12,2,2,,,,6,3,2,,,,,3,,,26,2,2,,1,,1,1,,1,4,7,10,,,,2,,,35,,,,,,,,,,,,,,,,,,144
259971,"Santa Barbara County, CA, USA","California, USA","United States","34.416566358685, -119.67633542758",land,,2023-02-03,"Mission Wealth - HKDM",4,,4,3.99,1.3294436817787,0,,,,1,1,1,,1,,16,,,,,1,,,,2,,,,,,,10,4,,,,,,1,,,,5,3,,,,,,,95,,,,,,,,,,,,,,,,,,141
259972,"Santa Barbara County, CA, USA","California, USA","United States","34.416443367996, -119.67569420024",land,,2023-02-03,"mission wealth trash talkers",4,,4,6,0.1,0,,,7,1,,,,1,12,1,,4,,6,1,2,1,8,2,1,,,6,,,9,1,2,,,,,3,,,,25,23,,,,2,,,271,,,,,,,,,,,,,,,,,,389
260120,"Santa Barbara County, CA, USA","California, USA","United States","34.403620754586, -119.74343436019",land,,2023-02-03,"Explore Ecology-Rosevelt-vise",24,,24,15,0.25,0,,,,3,,1,,2,2,2,,,,,,,1,,,2,,,2,,1,5,,3,,,,,,,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,32
260218,"Santa Barbara County, CA, USA","California, USA","United States","34.423865078104, -119.80440916565",land,,2023-02-05,,2,,2,1.2115,3,0,,,,1,1,,,,,,5,,2,,,2,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,18
260337,"Santa Barbara County, CA, USA","California, USA","United States","34.403675129274, -119.74346228898",land,,2023-02-07,"Explore Ecology - McKinley - Salhuana",35,,35,1,0,0,,1,3,,1,,6,2,4,19,,,,,,6,6,4,3,,,,,,,3,,2,,1,,,,,,,2,,,,,1,,,50,,,,,,,,,,,,,,,,,,114
263861,"Santa Barbara County, CA, USA","California, USA","United States","34.403588997522, -119.74345679616",land,,2023-02-10,"Explore Ecology-Franklin-Aguilar",24,,24,1.5,0.25,0,,,,1,,,,,1,3,,,2,,,3,,,1,,,,,,,3,,1,,,,,,1,,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,22
263862,"Santa Barbara County, CA, USA","California, USA","United States","34.403368912289, -119.74343131134",land,,2023-02-10,"Explore Ecology-Franklin-Aguilar",25,,25,1.5,0.25,0,,,,,,,,,,3,1,2,1,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,17
263953,"Santa Barbara County, CA, USA","California, USA","United States","34.405018598831, -119.73995849503",land,,2023-02-12,"obrien family",5,,5,8.968,1.4465350387715,0,,,,1,1,1,,3,,,,,,,,,,1,,,,,3,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
263965,"Santa Barbara County, CA, USA","California, USA","United States","34.403556310604, -119.73959980544",land,,2023-02-12,"explore ecology",3,,3,28.355,0,0,,,,,,1,,,1,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,10
264348,"Santa Barbara County, CA, USA","California, USA","United States","34.403582034646, -119.74347909219",land,,2023-02-13,"Explore Ecology-Harding-Menegon",22,,22,3.374,0.25,0,,,,,,,,,,,,,1,,,,,,,,,,1,,,2,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,8
264510,"Santa Barbara County, CA, USA","California, USA","United States","34.402532346587, -119.74101488201",land,,2023-02-14,"explore ecology, Harding, Carter Brown",27,,27,0.984192,0.25,0,,,,,,,,,,3,,,,,,4,1,,,,,,,,,,,,,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,15
264550,"Santa Barbara County, CA, USA","California, USA","United States","34.403646906788, -119.74347193717",land,,2023-02-15,"Explore Ecology-ViejaValley-Aragon",27,,27,3,0.25,0,,,,2,,,,,,,,,,,,,2,3,,1,,,,,,11,,,,,,,,1,,1,,,,,,,,,10,,,,,,,,,,,,,,,,,,31
264605,"Santa Barbara County, CA, USA","California, USA","United States","34.417259763503, -119.88812033787",land,,2023-02-16,,1,,1,5.792,0,0,,,,,,4,,,2,,,,,,,,1,,,,,,2,,,2,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,14
264883,"Santa Barbara County, CA, USA","California, USA","United States","34.426362716769, -119.89465812691",land,,2023-02-21,"Shark Stewards",1,,1,21.267,0.044265240664441,0,,,,,1,,,,13,,,,,,2,1,2,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,31
264884,"Santa Barbara County, CA, USA","California, USA","United States","34.426362716769, -119.89465812691",land,,2023-02-21,"Shark Stewards",1,,1,21.267,0.044265240664441,0,,,,,1,,,,13,,,,,,2,1,2,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,31
