"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
213600,"San Luis Obispo County, CA, USA","California, USA","United States","35.1762, -120.72688",land,,2022-01-01,,1,,1,22,0.249,0,,,,,2,,,,,,,,,,1,,,1,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,11,,,,,2,20
215673,"San Luis Obispo County, CA, USA","California, USA","United States","35.3302, -120.84053",land,,2022-01-12,1,1,,1,4.51,0.0192,0,,2,,6,8,6,6,7,11,10,,,,3,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,4,,,,,,,,,1,82
215777,"San Luis Obispo County, CA, USA","California, USA","United States","35.33041, -120.84064",land,,2022-01-14,1,1,,1,0.01,0.0162,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215793,"San Luis Obispo County, CA, USA","California, USA","United States","35.33019, -120.84045",land,,2022-01-14,1,1,,1,0.01,0.0256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215817,"San Luis Obispo County, CA, USA","California, USA","United States","35.33006, -120.84051",land,,2022-01-14,1,1,,1,5.03,0.0447,0,,4,,,2,8,3,5,6,21,,,3,,,15,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,8,,,,31,141
215820,"San Luis Obispo County, CA, USA","California, USA","United States","35.33017, -120.8403",land,,2022-01-14,1,1,,1,0.01,0.4607,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215873,"San Luis Obispo County, CA, USA","California, USA","United States","35.42871, -120.88369",land,,2022-01-15,"Morales family",2,,2,0.92,1.0755,0,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,16,22
215905,"San Luis Obispo County, CA, USA","California, USA","United States","35.33025, -120.84051",land,,2022-01-14,1,1,,1,3.39,0.0098,0,,2,,,,2,4,,3,22,,,,,4,8,4,3,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,20,5,,,,,82
215975,"San Luis Obispo County, CA, USA","California, USA","United States","35.3281, -120.83061",land,,2022-01-17,"In honor of MLK",2,,2,12.45,0.2845,0,,7,,,,5,1,1,6,49,,,3,,1,19,5,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,48,,3,,,83,241
216029,"San Luis Obispo County, CA, USA","California, USA","United States","35.330150604248, -120.84046173096",land,,2022-01-17,1,2,,2,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
