"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
280263,"San Luis Obispo County, CA, USA","California, USA","United States","35.1238288, -120.6331801",land,,2023-05-09,,1,,1,31.259,0,0,,,,3,4,7,,6,,4,1,4,2,,4,,,,,4,,,,,10,,,,,1,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,56
280274,"San Luis Obispo County, CA, USA","California, USA","United States","35.145870898883, -120.64154396776",land,,2023-05-10,"Keep Pismo Clean",1,,1,15.656611,0.5,0,,,,1,,1,1,6,14,5,5,5,,4,4,5,5,,5,1,,,,,1,,1,1,,5,5,,3,,,5,,,1,4,2,2,,4,,,,,,,,,,,,,,,,,,,96
280944,"San Luis Obispo County, CA, USA","California, USA","United States","35.106025493365, -120.63091687358",land,,2023-05-17,"Community Service",1,,1,9.603,0.31134496271,0,,,,,,,,,,2,,,,,,1,,,,,,,3,,,,,,,1,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,11
281034,"San Luis Obispo County, CA, USA","California, USA","United States","35.36659, -120.85386",land,,2023-05-18,Ccm,1,,1,0.08,0.0036,0,,3,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
281047,"San Luis Obispo County, CA, USA","California, USA","United States","35.13622635, -120.64080748",land,,2023-05-19,"Oracle RE&F",1,,1,0.533,0,0,,,,,,2,2,,2,,,,,1,1,3,,2,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,15
281112,"San Luis Obispo County, CA, USA","California, USA","United States","35.105903499257, -120.63081482844",land,,2023-05-19,"Community Service",1,,1,3.404,7.4961153326654,0,,2,2,1,1,1,,,4,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,18
281259,"San Luis Obispo County, CA, USA","California, USA","United States","35.122947464532, -120.63419380067",land,,2023-05-20,"Community Service",1,,1,1.45,0,0,,1,,,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10
281307,"San Luis Obispo County, CA, USA","California, USA","United States","35.105753526857, -120.607694367",land,,2023-05-21,"Community Service",1,,1,0.6,0,0,,1,2,,3,1,,,4,2,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
281436,"San Luis Obispo County, CA, USA","California, USA","United States","35.1238288, -120.6331801",land,,2023-05-22,,1,,1,31.921,0,0,,2,,2,1,2,,1,,1,,3,,,,,1,,,4,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
281868,"San Luis Obispo County, CA, USA","California, USA","United States","35.123550461944, -120.63371516364",land,,2023-05-29,,1,,1,2.169,1.1960907059177,0,,,1,3,2,1,,1,1,1,,,1,,,1,1,1,,,,,,,1,1,,1,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,20
281872,"San Luis Obispo County, CA, USA","California, USA","United States","35.123557214132, -120.63371782542",land,,2023-05-30,,1,,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281879,"San Luis Obispo County, CA, USA","California, USA","United States","35.123849543776, -120.56789092731",land,,2023-05-30,,1,,1,4,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282233,"San Luis Obispo County, CA, USA","California, USA","United States","35.176294506823, -120.71951059816",land,saltwater,2023-05-30,"ECOSLO & County Parks",19,,19,60,1,0,5,13,25,56,37,61,10,66,28,158,1,3,13,2,15,67,7,20,6,6,1,,,,2,,,10,1,13,,,,,,,22,20,1,3,1,,,,127,,,,,,,,,,,,,,,,,,795
282397,"San Luis Obispo County, CA, USA","California, USA","United States","35.123897991176, -120.56783887569",land,,2023-06-02,,1,,1,6,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
